file	result	first_error
tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_juxtaposed.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_juxtaposed (decl 0): type unification failed at [return type annotation at tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_juxtaposed.ail:15:1]: cannot unify record with unexpandable type constructor ToolPolicyDecision
tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_unknown_kind.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_unknown_kind (decl 1): undefined variable: Judge at tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_unknown_kind.ail:16:4
tools/ext_ambient_inventory/fixtures/hook_scope/reject_unknown_callee.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_unknown_callee (decl 0): undefined variable: None at tools/ext_ambient_inventory/fixtures/hook_scope/reject_unknown_callee.ail:15:50
tools/ext_ambient_inventory/fixtures/shape_bare_module.ail	FAIL	Error: module loading error: failed to load tools/ext_ambient_inventory/fixtures/shape_bare_module.ail: parse errors in tools/ext_ambient_inventory/fixtures/shape_bare_module.ail:
tools/ext_ambient_inventory/fixtures/shape_effect_variable.ail	ok	
tools/ext_ambient_inventory/fixtures/shape_module_alias.ail	ok	
tools/ext_ambient_inventory/fixtures/shape_no_cached_interface.ail	FAIL	Error: module loading error: failed to load std/nonexistent_fixture_module: stdlib module not found: std/nonexistent_fixture_module
tools/ext_ambient_inventory/fixtures/shape_symbol_not_in_interface.ail	FAIL	Error: IMP010: symbol 'definitely_not_an_export_of_std_json' not exported by 'std/json'
tools/ext_ambient_inventory/fixtures/shape_unknown_builtin.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/shape_unknown_builtin (decl 0): undefined variable: _no_such_builtin_for_fixture at tools/ext_ambient_inventory/fixtures/shape_unknown_builtin.ail:10:3
tools/ext_call_inventory/fixtures/control_resolved.ail	ok	
tools/ext_call_inventory/fixtures/form_alias.ail	ok	
tools/ext_call_inventory/fixtures/form_computed.ail	ok	
tools/ext_call_inventory/fixtures/form_reexport.ail	ok	
tools/ext_call_inventory/fixtures/form_wrapper.ail	ok	
tools/ext_registry_gen/fixtures/abi8/exts/motoko-ext-alpha/register.ail	ok	
tools/ext_registry_gen/fixtures/abi8/exts/motoko-ext-beta/register.ail	ok	
tools/ext_registry_gen/fixtures/abi8/registry/config.ail	ok	
tools/ext_registry_gen/fixtures/abi8/registry/normalize.ail	ok	
tools/ext_registry_gen/fixtures/abi8/registry/registry_generated.ail	FAIL	Error: module loading error: failed to load pkg/fixture/motoko_ext_alpha/register: failed to resolve package import "pkg/fixture/motoko_ext_alpha/register": package "fixture/motoko_ext_alpha" not found in ailang.lock; run 'ailang lock' to resolve dependencies
tools/ext_registry_gen/fixtures/abi8/registry/run.ail	FAIL	Error: module loading error: failed to load registry/registry_generated: LDR001: module not found: registry/registry_generated
tools/test_coverage/fixtures/control_has_tests.ail	ok	
tools/test_coverage/fixtures/failing_test.ail	ok	
tools/test_coverage/fixtures/named_only.ail	ok	
tools/test_coverage/fixtures/nested/nested_has_tests.ail	ok	
tools/test_coverage/fixtures/no_tests.ail	ok	
tools/test_coverage/fixtures/phantom_pattern.ail	ok	
tools/test_coverage/fixtures/skip_recorded.ail	ok	
tools/test_coverage/fixtures/skip_unrecorded.ail	ok	
tools/test_coverage/fixtures/undetected_form.ail	ok	
tools/test_coverage/fixtures/unrunnable.ail	FAIL	Error: module loading error: failed to load tools/test_coverage/fixtures/unrunnable.ail: parse errors in tools/test_coverage/fixtures/unrunnable.ail:
tools/verify_classify/fixtures/precondition_tautology.ail	ok	
