fix	test	baseline	mutated	restored	bytes	verdict
p02_g3_lim6_escape	scripts/dst/fixtures/adr001_boundary/n_pure_passthru_captured.ail	GREEN	RED	GREEN	same	PASS
p02_g4_lim18_binding	scripts/dst/fixtures/adr001_boundary/v7_mkmod.ail	GREEN	RED	GREEN	same	PASS
p02_g1_named_control	scripts/dst/fixtures/adr001_boundary/named.ail	GREEN	RED	GREEN	same	PASS
p02_g2_clean_control	scripts/dst/fixtures/adr001_boundary/clean.ail	GREEN	RED	GREEN	same	PASS
p02_2a_lim3_missing	scripts/dst/fixtures/adr001_boundary/missingport.ail	GREEN	RED	GREEN	same	PASS
p02_provenance	scripts/dst/fixtures/adr001_boundary/named_static_constant.ail	GREEN	RED	GREEN	same	PASS
p02_imported_sum_pin	scripts/dst/run_declared_vs_performed.sh	GREEN	RED	GREEN	same	PASS
