fix	test	baseline	mutated	restored	bytes	verdict
p15ra3_fixture_pattern_reverted_pd	tools/profile_definition/check_fixtures.py	GREEN	RED	GREEN	same	PASS
p15ra3_fixture_pattern_reverted_do	tools/profile_definition/check_fixtures.py	GREEN	RED	GREEN	same	PASS
p15ra3_b8_block_reverted_to_extctx	scripts/dst/run_declared_vs_performed.sh	GREEN	RED	GREEN	same	PASS
p15ra3_b8_inline_probe_reverted	scripts/dst/run_declared_vs_performed.sh	GREEN	RED	GREEN	same	PASS
p15ra3_absorb_process_off_by_one	scripts/dst/run_declared_vs_performed.sh	GREEN	RED	GREEN	same	PASS
p15ra3_absorb_fs_off_by_one	scripts/dst/run_declared_vs_performed.sh	GREEN	RED	GREEN	same	PASS
p15ra3_denominator_arith_reverted	scripts/dst/run_declared_vs_performed.sh	GREEN	RED	GREEN	same	PASS
